Question,Answer
Where does Gilbert find a place to stay? ,Right across the street from the bookstore
Why does  Gilbert choose to stay across the street from the bookstore? ,So that he can keep an eye out for Tatiana
What does Gilbert do when he notices the pharmacist letting himself into the bookstore? ,He breaks into the bookstore
Where does Mifflin travel on a day trip? ,To Philadelphia
What happens to Mifflin's dog when the bomb goes off? ,The dog is killed
What was the pharmacist's real identity? ,He was a German spy
The pharmacist's co-conspirator worked at what business? ,The Octagon Hotel 
Why does Aubrey Gilbert visit the bookstore?,To find a new advertising client.
What job does Gilbert assign himself?,To protect Titania.
How does the pharmacist get into the bookstore at night?,He has his own key.
What does Gilbret realize when he meets Mifflin in Philadelphia?,That someone else tricked him into leaving the bookstore unwatched.
What did the pharmacist leave in the bookstore?,A suitcase full of books.
Why is Mifflin claim that he is happy that part of the bookstore blew up?,The explosion helped him find books he forgot about.
Who was killed in the bookstore bombing?,The pharmacists partner and Mr. Mifflin's dog.
What was the real identity of the pharmacist?,A German Spy
Where did the pharmacist plan on putting the bomb?,In a book to be read by President Wilson.
Where is this story set?,Brooklyn
What is the time period for the story?,End of World War I
How is the bookstore destroyed?,Bomb
What was the pharmacist?,German spy
How did the pharmacist die?,suicide
What is the name of the bookstore?,The haunted bookshop
Who does Gilbert fall in love with?,Titania
What ad is posted in the New York Times?,Reward for lost book
What was the pharmacist's special ability?,Making bombs
Who was the pharmacist captured by?,Police
When Claudius dies he goes first to heaven but what happens and where does he eventually go?,He is eventually judged by the gods and sent to Hades. 
What does Seneca mock Claudius about at every opportunity?,"Claudius' cruelty and inarticulateness, any of the emperor's failings. "
Who is persuaded by whom to kill Claudius?,Mercury persuades Clotho.
What does Claudius convince Hercules to do?,To have the gods listen to his suit for deification. 
What does Augustus do during the proceedings?  ,Augustus lists Claudius' worse crimes.  
Where is Claudius taken next and by whom?,He is taken next to hell and his escort is Mercury. 
What do they see on the way to hell?,They see Claudius' own funeral procession.
Who greets Claudius in hell and what do they do?,Ghosts of his friends who he murdered greet him and carry him off to be punished.
What is his 'doom' and what vice does this signify?,His doom is to roll dice in a box with no bottom forever more because one of his vices was gambling. 
"Who shows up in hell and claims Claudius to be an ex-slave, and to what job does he reassign Claudius?",Caligula claims him and turns him over to be a law clerk in the underworld court.
What is Apocolocyntosis about?,It traces the death of Claudius.
Where does Claudius meet Hercules?,Mount Olympus.
What is Clausius' vice?,Dice?
What does Claudius convince Hercules to do?,To hear his suite for deifaction in a session of the divine senate.
Who speaks against Claudius at the session?,Augustus.
Who escorts Claudius to Hades?,"Mercury,"
What does he see on the way to Hades?,The funeral procession for the emperor.
Who greets Claudius when he arrives in Hades?,Ghost of the friends he's murdered.
Who mocks the emperors failings? ,Seneca.
Who does Caligula claim Claudius to be?,His ex slave.
Whose death is being traced?,Claudius
What does Mercury peresuade Clotho to do?,Kill the emperor
Where does Claudius meet Hercules?,Mount Olympus
Where is claudius greeted by the ghosts?,Hades
What is Caligula's relationship to Claudius?,Ex-Slave
Who carries off claudius?,the ghosts?
Who delivers the speech?,Augustus
Who does seneca Mock?,The emperor
What is claudius handed over to be in the court of the underworld?,Law clerk
Who were the proceedings initially in favor of?,Claudius
Where do the gods decide to eventually send Claudius?,Hades.
Who mocks Claudius throughout the drama?,Seneca.
What are two of Claudius' most egregious errors according to Seneca?,Claudius' cruelty and inarticulateness. 
Who escorts Claudius to Hades?,Mercury.
Who does Mercury convince to kill the emperor?,Clotho.
Who allows Claudius to gain an audience with the gods for vindication?,Hercules
Who ruins Claudius' defense with a list of Claudius' crimes?,Augustus.
Who greets Claudius upon arrival in Hades?,The ghosts of friends Claudius has murdered.
What ceremony do Mercury and Claudius witness while on the way to Hades?,A Funeral Procession.
What do the gods condemn Claudius to do in eternity?,Shake dice in a box with no bottom.
Who does the trio get a lift from shortly after they first escape from prison?,A blind man driving a handcar gives them a ride. 
How do the friends help Everett win Penny back?,They perform their radio hit at a gala she attends.
What condition does Penny give Everett before she will marry him?,Everett must find her original ring. 
What animal does Delmar think Pete is turned into after their encounter with the sirens?,Delmar thinks Pete has been turned into a toad. 
What do the main characters name their singing group?,They call themselves the Soggy Bottom Boys. 
How is Big Dan killed?,The burning cross falls on him at a Klan rally. 
Why is Pete especially angry with Everett after learning there is no treasure?,When they escaped to find the treasure Pete had only 2 weeks of his prison sentence left but must now serve another 50 years for escaping.
Why does Tommy say he is able to play the guitar?,Tommy says he sold his soul to the devil so he could play the guitar. 
What unexpected event saves the trio from hanging at the end of the story?,The valley is flooded. 
Who turned Pete back into the police?,The Siren women turned in Pete. 
WHY DO THE THREE CONVICTS ESCAPE FROM THE CHAIN GANG?,They escape to find a supposed treasure.
What are the first names of the three convicts?,"Everett, Pete and Delmar are their first names."
Who buried the treasure?,Everett buried the treasure.
Who do they get a lift from after escaping the chain gang?,A blind man driving a handcar on the railway.
Who is Tommy Johnson?,A young black man they pick up on the road.
They record a song under what name?,The Soggy Bottom Boys is the name of their group.
The trio come upon what group trying to hang Tommy?,The Ku Klux Klan isthe group they came on.
What is Everett's wife name?,Pennyis Everett's wife name.
Who gives the trio a pardon?,Pappy O'Daniel the incumbent candidate
Who orders them to be hanged?,Sheriff Cooley tried to hang them.
What is the blind man driving when he gives the three main characters a lift at the beginning of the story?,A handcar
Which character claims he sold his soul to the devil?,Tommy Johnson
What is the name of the singing group that the main character use to record their song at the radio station?,The Soggy Bottom Boys
What do the women washing clothes in the river drug the main characters with?,Corn Whiskey
What animal does Delmar think Pete was turned into?,A toad
Who are the Ku Klux Clan planning on hanging?,Tommy
Who reveals the true identity of the main characters to the Ku Klux Clan?,Big Dan
What falls onto Dan and kills him?,A burning cross
Who endorses the Soggy Bottom Boys and grants them a full pardon?,Pappy O'Daniel
What happens just as Everett prays to God during the final part of the story?,The valley is flooded
What medical condition did Whale continue to suffer from?,Strokes
What job was Boone hired to do for Whale?,Gardener
"Who are the two ""monsters"" mentioned in the story?",Boris Karloff and Elsa Lanchester
What is Boone's son's name?,Michael
"Who hosted the party, mentioned in the story, for Princess Margaret?",George Cukor
What happens at Princess Margaret's party that is an excuse for Whale and Boone to leave?,A rain storm
Who is Whale's longtime housemaid?,Hanna
What pieces of work did Whale famously direct?,Frankenstein and Bride of Frankenstein
What did Boone do to help Whale?,Pose for his drawings
After Whale and Boone's disagreement where did Hanna find Whale?,Dead in the pool
What is James Whale's claim to fame? ,He was the director of the films Frankenstein and Bride of Frankenstein
Who is Clayton Boone to James at the beginning of the story? ,He is his gardener. 
How did James Whale sign his drawing of Frankenstein that he gave to Clayton? ,To Clayton. Friend? 
What did Clayton's friends think were James' intentions with Clayton? ,He just wanted to get him into bed.
What did Clayton do when James detailed his past sexual exploits?,He stormed out and then later made him agree to never speak of his homosexuality to him again. 
Why was Clayton uncomfortable with his friendship with James? ,Because he was a known homosexual. 
What causes James' depression at the beginning of the story? ,He misses his fame and glory days and he's getting older. 
How did James feel after he and Boone attended the party for Princess Margaret? ,More depressed.
How did Boone react when James' finally made a sexual advance? ,He was very angry and physically attacked him.
Why did James ask Clayton to kill him? ,To put him out of his misery. 
Who does Whale live with?,His housekeeper Hanna.
What war was Whale in?,World War One.
Who poses for Whale's sketches?,"His Gardener, Clayton Boone."
Who hosts the party Boone and Whale go to?,George Cukor.
What does Boone wear when his clothes get wet?,A towel.
Where does Whale kiss Boone?,His shoulder.
Who does Whale ask to kill him?,Clayton Boone.
What do Boone and his son watch on TV?,The Bride of Frankenstein.
How does Boone prove to his son that he was friends with Whale?,He shows him a sketch of the monster.
How old was Gandhi when he was thrown off a train?,23 years old.
What kind of protest did Gandhi support?,Non-violent protest.
Where was Gandhi sitting on the train?,He sat in first-class with his ticket.
What is the name of the major massacre in the story?,Jallianwala Bagh.
"What happened on January 30, 1948?",Gandhi was assassinated.
Who killed Gandhi?,Nathuram Godse.
What is the meaning of 'He Ram'?,"'Oh, God'"
What country granted India its' independence?,Great Britian.
Who did Gandhi support for the first Indian prime minister?,Muhammed Ali Jinnah
When did Great Britian finally grant India's independence?,Immediately after World War II
What was the date of Ghandi's assassination?,"January 30, 1948."
Who assassinates Ghandi?,Nathuram Godse.
"When Ghandi was 23, he was thrown off a train in South Africa.  Why?",Because he was an Indian sitting in first-class seat.
What country ruled India prior to its independence?,Britain.
How many Indians join Ghandi's non-violent protests in India?,Millions.
When does Britain hand back over control of India to the Indians?,After WW2.
What major factor divides India after it's independence?,Religion.
What new country is formed from India's Muslim regions?,Pakistan
What was the division of India into Hindu and Muslim states called?,The Partition of India.
Where are Ghandi's ashes scattered after he is cremated?,The Holy Ganga  river.
What day was Gandhi's assassination?,January 30 1948.
Where is Gandhi thrown off a train?,South Africa.
Who is disparaging Indian's in India?,British Empire.
After what World War was India granted independence?,World War 2.
What is the result of the Muslim and Hindu religious disagreement?,Muslims create Pakistan. 
What does Ghandi do to protest the violence?,Ghandi goes on a hunger strike.
Who assassinates Gandhi?,Godse.
What happens to Gandhi after he is assassinated?,Gandhi is cremated.
What does Gandhi get arrested for in South Africa?,Protesting.
Where is Queen Mary locked up? ,Loch Leven Castle
Who is Roland supposed to be guarding? ,Mary Stuart
Who is Roland's love interest? ,Catherine Seyton
Who owned the dog that saved Roland from drowning?  ,Lady Avenel
Who taught Roland the Romish faith? ,Father Ambrose
"Who was thought to be Catherine, dressed like a man? ",Henry Seyton
Who promised Queen Mary that he would work for her freedom? ,Roland
Who tried to convert Roland? ,Henderson
Where is Lord Seyton's castle located? ,West Lothian
What kind of tree was Queen Mary standing by during the battle?,A Yew tree
Which year was Queen Mary imprisoned?,1567
Who sent Roland to guard Mary Stuart?,Regent Murray
Who did Lady Avenel adopt?,Roland
Who did Roland help in a street fray?,Lord Seyton
Who was evicted from the monastery?,Father Ambrose
Where is Lord Seyton's castle located?,West Lothian
Which two men did the Queen want to make peace between?,Roland and Harry Seyton
Who guarded the queen during the battle?,George Douglas
Where did the queen flee to after the battle had ended?,England
Who did Roland end up marrying?,Catherine
Where is Queen Mary imprisoned?,Loch Leven Castle.
Who falls in love with Catherine Seyton?,Roland Graeme.
Who introduced Roland to Catherine?,Lady Avenel.
Who had been evicted from the monastary?,Father Ambrose.
What did the dog save Roland from?,Drowning.
What did Roland forge?,A set of fake keys.
Who did George Douglas protect?,Mary.
Who was killed by Sir John Foster?,Julian Avenel.
Who succeeded in his claim as heir?,Roland.
Who did Roland marry?,Catherine.
Who pursuaded Kayleigh and Tommy into child pornography?,"Their father, George Miller"
Who set a dog on fire?,Tommy
How does Evan travel back in time?,By reading his adolescent journal entries
What is Evan's main reason for wanting to travel back in time?,To redo parts of his past
Who is shown as being a double amputee?,Evan
Who was accidentally killed while playing with dynomite?,A mother and her infant child
"Who did Evan pass on a street in NYC, almost 8 years later?",Kayleigh
How did Evan and Kayleigh react towards eachother in NYC?,They looked at eachother but kept walking
Who suffers from severe nosebleeds?,Evan
What did Evan end up doing with his journals and videos from his childhood?,He burned them
Who tried to strangle Evan when he was young?,His father
Changing the past physically hurts Evan in what ways?,Nosebleeds or Brain Damage
Evan can travel back in time when he reads what?,Journal
Who is Evan's roommate in college after Evan fixes the main issue?,Lenny
Who burns Evan's dog alive?,Tommy
What were the blackouts Evan experienced when he was young finally revealed as?,Evan travelling back in time
Who did Evan go to prison for murdering alternate timelines?,Tommy
Evan solves the main conflict by making it so he and who never became friends?,Kayleigh
Where does Evan live near the end?,New York City
What was Evan playing with when he accidentally killed a mother and her child?,Dynamite
In what city did an adult Evan Treborn pass by Kayleigh Miller eight years later? ,New York City.  
What was Evan Treborn able to do by traveling back in time? ,Redo parts of his past. 
How did Evan Treborn discover that he could travel back in time? ,By reading his adolescent journals. 
"According to the story, what caused Evan Treborn's brain damage & severe nosebleeds? ",The cummulated assimilation of dozens of years worth of new memories. 
What caused Evan Treborn blackouts? ,Severe psychological traumas. 
"Even though his intensions to fix the past were good, what does Evan Treborn ultimately realize? ",That these efforts led to unforeseen consequences. 
What did this time traveling habit account for? ,His frequent childhood blackouts. 
What does Evan Treborn personal time-line lead to? ,Alternative futures. 
What did George Miller force Evan Treborn to take part in? ,Child pronography. 
"To avoid ever altering the timeline again, what does Evan Treborn do?  ",Evan Treborn burns his journals and videos. 
Why are Kyle and her daughter traveling?,They are taking Kyle's husband's body back to their hometown for burial. 
How does Kyle keep herself and Julia safe when she blows up the plane?,Kyle takes Julia into the non combustible hold.
What is Kyle's occupation?,Kyle is an aircraft engineer.
What does Kyle see that convinces her that she is not crazy?,She sees a heart that her daughter had drawn on the wall. 
Why was Kyle's husband killed?,Kyle's husband was killed so that Carson could frame her for hijacking.
What does Julia ask Kyle at the very end of the story when she wakes up?,"Julia asks, ""Are we there yet?"" "
Where were the explosives hidden?,In Kyle's husband's casket.
How does Kyle get away to search the plane?,She climbs into the upper compartment and damages some of the plane's electronics.
What three people were involved in planning the fake hijacking?,"Carson, Stephanie, and the mortuary director. "
Where does Kyle live at the start of the story?,"She lives in Berlin, Germany."
Where is Kyle employed?,"Berlin, German"
How is David believed to have died?,He fell off their roof.
How old is Kyle's daughter?,6 years old
Who are part of the conspiracy?,"Carson, Stephanie , and the mortuary director in Berlin"
How much money does Carson say Kyle is demanding from the airlines?,$50 million
What does Kyle demand of Carson imidiately upon realizing the truth?,That he stay on board after the passenger leave
What does Kyle knock Carsin out with?,A fire extinguisher
Where does Kyle find Julia?,In Avionics
How does Carson die?,Kyle detonates the explosives
Who is led away in hand cuffs at the end of the story?,Stephanie
How much money is being asked for in order for the aircraft not to be blown up?,$50 million
What is the Air Marshall's name?,Gene Carson
What airport did the aircraft make an emergency landing at?,Goose Bay Airport
What object does Kyle knock Air Marshall Carson unconscious with?,Fire Extinguisher
What did Julia draw on the window of the airplane?,A heart
What is hiding in David's casket?,Two explosives and a detonator
"Who is the third person, besides Carson and Stephanie, involved in the conspiracy?",mortuary director in Berlin
What was the therapist's name who comforts Kyle?,Lisa
How old is Julia?,six
In what city and state is Kyle burying her husband?,"Long Island, New York"
How are Ursula and Gudrun related?,They are sisters
What country does Gudrun live in? ,England
What does Ursula do for a living?,She is a teacher
What does Gudrun do for a living?,She is an artist
Gudrun begins a love affair with who?,Gerald
What happens to Diana at Gerald's Estate?,She drowns
Who does Ursula agree to Marry?,Rupert Birkin
Who freezes to death in the mountains?,Gerald
Who does Gudrun begin an intense relationship with?,Loerke
What is Burkin's occupations?,He is a school inspector
What is Ursula and Gundrun's last name? ,Brangwen
What does Rupert Birkin do for a living?,a school inspector
Where to Ursula and Gudrun live?,The Midland's of England
What happens to Gerald's sister? ,She drowned
What happened to Gerald's father? ,He dies after a long illness
What is the name of the man Gudrun falls in love with? ,Loerke
"With a life beset with tragedy, what finally happened to Gerald? ",Gerald dies in his sleep in a snowy valley
Who has profound feelings for Gerald when he passes away?,Rupert Birkin
"What are the the things that Ursula, Brikin, Gerald and Gudrun concerned with?",The relationship between men and women
Who drowns at the party at Gerald's estate? ,Gerald's sister Diana
What is the source of Gerald's wealth? ,Coal mine.
Which sister does Birkin want to marry?,Ursula
Who is Gerald jealous of?,Loerke
Who tries to kill Gudrun?,Gerald
How does Gerald die?,Freezing
What profession does Gudrun and Loerke share?,They are both artists.
Whom does Gudrun mentor?,Gerald's youngest sister.
What is Ursula's profession?,Teacher
Where does Gerald spend the night immediately after his father's funeral?,At Gudrun's house.
Why do Hans and Gretel Brinker have little chance to do well in the ice skating race?,They are using handmade wooden skates.
Why can't Raff Brinker work?,Raff Brinker fell from a dike and has a head injury.
Why does Dr. Boekman provide the surgery for free?,The doctor was touched because Hans offered to use the money he had saved to buy steel skates.
Why does Hans not win the race?,Hans let a friend who needed it more win.
Why does Dr. Boekman change?,Mr. Brinker helped Dr. boekman reunite with his lost son.
How does Hans go become a doctor?,Dr. Boekman helps Hans go to medical school.
Why do Hans and Gretel want to participate in the ice skating race?,They are excited by the prize of the silver skates.
Why does the community look down on the Brinkers?,The community looks down on them because they are poor.
Why is Dr. Boekman gruff in nature?,The doctor is gruff because his wife dies and his son disappeared.
What happens to Mr. Brinker's savings?,"They thought Mr. Brinker's savings was lost or stolen, but recovered it."
In which country is the setting of the story?,Holland
Why is Dr. Boekman so gruff and coldhearted? ,His wife passed away and his son has gone missing.
What gesture moves Dr. Boekman to perform Mr. Brinker's surgery for free?,Hans' gesture of trying to pay for the surgery with the money he saved up for the steel skates. 
Why has Hans been saving his money?,He wants to buy steel skates.
Who is able to reunite Dr. Boekman with his estranged son?,Raff Brinker/Mr. Brinker.
How did Mr. Brinker get receive his head injury?,He fell from the dike.
After Mr. Brinker's surgery what event further changes the Brinkers' fortune?,The recovery of Mr. Brinker's savings.
In which way does Dr. Boekman further help a member of the Brinker's family at the end of the story?,Dr Boekman helps Hans go to medical school.
Why does the community look down on the Brinkers?,Because they are poor.
Why doesn't Hans win the silver skates?,"Hans lets his friend win, because his friend needs the prize more."
How old is Hans Brinker?,Fifteen
What is Hans' sister's name?,Gretel
What month of the year does the race take place?,December
What do they receive if they win the race?,Silver skates
Who does Hans beg to treat his father?,Dr. Boekman
Why does Dr. Boekman do the surgery for free?,Because he was touched by Hans' willingness to give up all of his money
What does Hans become when he grows up?,A doctor
What country is Hans from?,Holland
What place does Gretel get in the girls race?,First place
What is the name of Hannah's husband?,Elliot
Who does Hannah's husband have an affair with?,Her sister Lee
Who is Lee living with during the first Thanksgiving?,Frederick
What is Hannah's ex-husband's name?,Mickey
Who does Mickey go on a date with?,Holly
"What is the relationship between Hannah, Lee and Holly?",They were sister's
Who did Holly start a catering business with?,April
What are the names of Hannah's parents?,Norma and Evan
What is Mickey's occupation?,A television writer
What are the occupations for Hannah's parents?,They are actors.
Who becomes infatuated by Lee?,Elliot
What does Frederick do for a living?,He is an artist
Why does Lee leave Frederick?,Frederick learns of her affair with Elliot
Who is Elliot married to?,Hannah
Why did Hannah and Mickey get divorced?,They couldn't have children.
Why does Mickey become interested in Catholicism and Krishna Consciousness?,He is having an existential crisis.
What does Mickey realize after watching Duck Soup?,Life should be enjoyed to the fullest.
What drug was Holly addicted to?,Cocaine
Who does Holly start a catering business with?,April
Who does Holly end up marrying?,Mickey
Who is Hannah married to?,Elliot
Which one of Hannah's sisters does Elliot become obsessed with?,Lee
What does Elliot say is to blame for his affair with his wife's sister?,Her strong-will and self-sufficiency 
How long has Lee lived with Frederick?,Five years
What does Frederick do for a living?,he is an artist
Why does Lee officially leave Frederick?,Frederick discovers her affair with Elliot
When does Lee end her affair with Elliot?,After the second Thanksgiving
What is the name of Hannah's ex-husband?,Mickey
What drug was Holly once addicted to?,Cocaine
Who does Holly eventually marry?,Mickey
"Why does the museum director, Dr. Cuthbert, protest the closing of the museum while the police search it?","There is an important, upcoming exhibition."
Which character turned into the Kothoga?,John Whitney
Why did Margo suggest using liquid nitrogen to kill the Kothoga?,The Kothoga is part reptilian and likely cold-blooded.
How did Margo kill the Kothoga?,Margo started an explosive fire that killed the Kothoga.
What was found on the leaf fungus in Whitney's crates?,Concentrated hormones found in several animal species.
What caused the exhibition crowd to panic?,The headless body of a murdered policeman fell into the crowd.
What substitute was the Kothoga looking for when the leaves went missing?,Human hypothalami
Why did Whitney mutate into the Kothoga?,He drank the tribesmen's soup.
Who was the homicide detective that investigated the ship's murders?,Vincent D'Agosta
Where did police find Ford's missing wallet?,"On the body of a mentally-ill, homeless ex-convict."
What is John Whitney's occupation?,Antrhopologist 
What does Whitney ask of the Ship's Captain?,Remove the cargo
Where does the ship arrive?,Illinois River
Who is Dr Margo?,Biologist 
What does Margo notice on the crate?,Fungus
Why is the Museum locked down?,Killer could be in museum
What attacks Margo and Frock?,A Kothoga
What does Margo suggest to kill the Kothoga?,Liquid Nitrogen
What is the identity of the Kothoga?,Whitney
Why does the Kothoga hesitate to attack Margo?,It was whitney who recognized her.
What is John Whitney's career?,Anthropologist?
Where does John work?,Museum of natural history in Chicago
What is Kothoga?,Mythical statue
What does the fungus contain?,Animal hormones
What mutates John?,Tribal soup
How is the Kothoga destroyed?,Fire
How does D'Agosta survive?,Hides in maceration tank
What has no effect on the Kothoga?,liguid nitrogen
Who is discovered to be the Kothoga?,John
What type of DNA does the Kothoga have?,human
What question is asked by the students to Kate?,If she is pregnant
Who knows Kate has been drinking at the beginning?,"Dave, her co-worker"
Where does Kate wake up after having spent the previous night getting high?,On the street
Where does Dave offer to take Kate?,To an Alcoholics Anonymous meeting
What does Kate decide to do after going to her first AA meeting?,She resolves to become sober
Which of Kate's parents are an alcoholic?,"Rochelle, her mother"
Who throws Kate a surprise baby shower?,Her colleagues
Why does Charlie discourage Kate from telling Mrs. Barnes the truth?,He is afraid Kate will lose her job
Where does Kate relapse?,In a bar
How long is Kate sober at the end of the story?,1 year
Why does Kate pretend to be pregnant?,Kate was an elementary school teacher and went to work hungover and vomited in front of her students.
Why does Kate pee on the floor after being refused the wine sale?,Kate peed on the floor because the bathroom door was locked.
Why is Rochelle skeptical of AA meetings?,Kates father attended them and then left to be with a new family.
What is Charlie doing when Kate is speaking at an AA meeting celebrating one year of sobriety?,He is getting in trouble for riding a bicycle while drunk.
What happens when Kate tells Mrs. Barnes the truth about her fake pregnancy?,Kate is fired.
WHy does Dave invite Kate to an AA meeting?,Dave is a recovering alcoholic.
"After Kate was fired and relapsed, who drove her home from the bar?",Jenny and Dave drove her home. 
What has Jenny chosen to focus on rather than alcohol?,Jenny focuses on her passion for food and cooking.
"Immediately after Charlie and Kate acknowledge their drinking problem, what do they do?",They decide to get intoxicated and have sex.
What does Charlie ask Kate for when they are playing croquet?,He asks for a chance to redeem himself.
What is Kate Hannah's profession?,She is an elementary school teacher.
What lie does Kate Hannah tell her students after she throws up?,That she is pregnant.
What secret does Dave tell Kate that he knows about her?,That she has been drinking.
Where does Dave invite Kate to go with him?,To an Alcoholics Anonymous (AA) meeting.
When did Kate's father leave his first family?,After he got sober.
What has Jenny exchanged for alcohol?,Food and cooking.
What happens when Kate tells Mrs. Barnes that she was never pregnant?,Mrs. Barnes fires Kate.
What does Kate do immediately after she is fired?,She goes to a bar and gets drunk.
What do Kate's students accuse her of when she tells them she has had a miscarriage?,They accuse her of killing her baby.
How do Kate's colleagues at work surpise her?,They throw her a baby shower.
Who tells the group about the large market for pot in Boston? ,Kevin Dulli
How much marijuana did George have when he's busted in Chicago?,660 pounds
Who dies from cancer?,Barbara
Who calls the police on George when he is home visiting his family? ,His mother
What location is George doing his 26 month federal sentencing at? ,"Danbury, Connecticut"
How fast did George and Derek sell 50kg of cocaine? ,In 36 hours
What is George's daughter's nickname?,Sunshine
Why does George decide to set up one more deal?,So that he can have enough money to take his daughter to California
How many years of sentencing was George to serve at Otisville Correctional Facility?,Sixty years
What is George given so that he can leave a final message to his father? ,A tape recorder
"When George is ten years old, what does his father do because of his financial status?",files for bankruptcy
Where does George move to as an adult?,Los Angeles
Who introduces George and his friend to the marijuana dealer?,"Barbara, an airline stewardess"
What was George's punishment when he was caught in Chicago trying to import marijuana?,sentenced to 2 years
Who called the police to have George arrested in New England?,his mother
Where did George and Diego Delgado meet?,prison
Where does George promise to take Christina on vacation?,California
"While in jail for 3 years, George's wife does what with his daughter?",takes custody of her
How does George give a final message to his dying father?,through a tape recorder
Why does George skip his bail in Chicago?,Barbara had cancer and he wanted to take care of her. 
Who helps George and Tuna make a lot of money in Los Angeles?,Derek Foreal
Who calls the police when George is arrested in New England?,His mother
How does George meet Diego Delgado?,They were cellmates in prison
Where does George meet Pablo Escobar?,Medellin
"In addition to the birth of his daughter, what other reason does George decide to quit the cartel business?",A drug-related heart attack
Why does George set up his last drug deal before being sentenced to 60 years?,To take his daughter Kristina to California
Why can George never forgive himself after being sentenced to 60 years in prison?,Because he broke a promise to his daughter
Who is Mirtha in relation to George?,His wife
Where is George when Mirtha divorces him ?,In prison
"At the beginning of the story, where does Otto work?",A supermarket.
"Leila works at a place called ""UFO"" what does that stand for?",United Fruitcake Outlet
How much money does Bud offer Otto to drive a car out of the neighborhood?,25 Dollars
"Who said ""the life of a repo man is always intense""?",Bud
"What is the make and model of the car with the $20,000 bounty notice?",1964 Chevy Malibu
What is causing people to die when they open the trunk of the Malibu?,Radiation from the alien bodies in the trunk.
Who are the rivals of the Helping Hand Acceptance Corporation?,The Rodriguez brothers.
Who is the friend that Dr. Parnell talks about with Otto?,Himself
Who drives the Malibu back into the Helping Hand lot after it had been stolen?,Bud
Which two characters are the only people able to enter the Malibu at the end of the story?,Otto and Miller
What car is Frank driving?,1964 Chevrolet Malibu
What does Bud offer Otto?,$25 to drive a car out of the neighborhood.
What does otto learn about the car he was driving?,it was being repossessed.
What does otto learn about the life of of a repo man?,it is always intense.
Why do most assume the Malibu is drug-related?,its bounty is so far above the actual worth.
Where does Parnell go to meet his UFO compatriots?,L.A.
Who steals the malibu?,Otto's punk friends.
Who does otto take the car back to in the end?,Helping hand
Who is the  only one able to approach and enter the car in the end?,Miller
What is so interesting about the malibu?,It can fly
What does Dr. Frank Parnell drive? ,A Chevy Malibu
What does Otto do for a living? ,He stocks supermarket shelves
Who does Otto's girlfriend leave him for? ,His best friend
What happens when a cop open's Dr. Parnell's trunk? ,He is instantly vaporized 
What did Otto's parents do with his school money? ,They donated it to a televangelist
Where does Leila work? ,United Fruitcake Outlet 
Who confesses love for Otto? ,Leila 
What can the Malibu do that is unusual? ,It can fly
Who helps Otto get a job at Helping Hand? ,Bud
Where did the enslaved aliens land?,Mojave desert
What was the name given to these new alien arrivals?,The newcomers
What is the name of the newcomer detective Sykes has to work with? ,Sam Francisco
What happened to the newcomer Joshua Strader? ,He was murdered
"Instead of interviewing Strader, who do the detectives interview at the club?",Strader's girlfriend
What is Jabroka?,A street drug for the newcomers
What happens when Harcourt is cornered by Sykes? ,He overdoses on Jabroka
What happens when Harcourt is taken away in the ambulance?,He transforms into a more muscular newcomer
How does Harcourt die? ,He dies when his body lands in salt water
What is used to rescue Sykes from the water? ,A police helicopter
Where does the Newcomers ship land?,In the Mojave Desert.
What happened to Matthew Sykes partner?,Bill Tuggles was killed in a shootout.
Why were Sykes and Tugger involved in the shootout?,They were trying to save a Newcomer Patrick from two Newcomer criminals from murdering him.
Why does Sykes partner with Francisco?,"To ivestigate the homicide of William Huberly, but also to search for his partner's killer."
Why are Sykes and Francisco investigating Joshua Strader?,An anomaly found on the body of one of the criminals.
What is the connection between the skin anomaly and Jabroka?,The anomaly is a side-effect of the drug's influence.
Who murdered Joshua Straber?,A criminal ring led by William Harcourt and Rudyard Kipling.
What was Harcourt planning when Sykes and Francisco stop him?,To release Jabroka more widely.
What happens to Harcourt at the bridge?,He intentionally overdoses on Jabroka.
How does Harcourt die?,"He dies to exposure of salt water, which is toxic to Newcomers."
In what year did the UFO land?,1990
Where did the UFO land?,Mojave Deser
What was the UFO carrying?,enslaved aliens
How many enslaved aliens was the UFO carrying?,"300,000"
What city becomes the enslaved aliens home?,Los Angeles
What does Matthew Sykes do?,police detective
What happened to Matthew's partner?,died
How did Matthew's partner die?,In a shootout
What is Warner's police title?,captain
What is Harcourt attempting to produce and sell?,a drug called Jabroka
What story did the narrator read to Roderick Usher?,He read the The Mad Tryst.
Why did the unnamed  narrator visit his friend Roderick Usher?,He got a letter from Roderick saying that Roderick was ill and was asking for help.
What did the narrator see when he arrived at Roderick Usher's house?,A thin crack on the front of the building from the roof to the lake.
What is the nature of Roderick's twin sister Madeline's illness?,She falls into death like trances.
What is hyperesthesia ?,"It is a sensitivity to light, sound,smalls and tastes."
What is hyperchondria?,When a person excessively worries about having a serious illness.
After Roderick tells the narrator that Madeline is dead what does he want they do with the body?,Roderick insists they inter her in the family tomb for two weeks.
As the narrator is reading to Roderick what sounds are heard in the house?,Cracking and ripping sounds are heard.
What did Roderick confess to the narrator about Madeline?,That he knew Madeline wasn't dead>
What happens when Madeline falls on Roderick?,They both fall to the floor as corpses.
Who was complaining about an illness and asking for the narrator's help?,Roderick Usher.
